region,code,countryname,year,survname,ref_year,cpi_domain,cpi_domain_value,cpi2021_unadj,cpi2017_unadj,cpi2011_unadj,cpi2011,cpi2017,cpi2021,version,comparability,cur_adj,survey_coverage,cpi_replication,cpi_domain_var,comparable,cpi2005,cpi_data_level,ref_year_SM25,cpi2011_SM25,cpi2017_SM25,cpi2021_SM25,change_cpi2021,change_icp2021,change_cpi2017,change_icp2017,change_cpi2011,change_icp2011,cpi_id
SSA,AGO,Angola,2000,HBS,2000.21,National,1,.00658098,.01417299,.03384806,.0338480614587559,.0141729935906649,.00658098496279651,14-Dec-25,0,1,N,,,,,2,2000.21,.03384806,.01417299,.00658098,0,0,0,0,0,0,CPI_v13_M_v01_A
SSA,AGO,Angola,2008,IBEP-MICS,2008.5,National,1,.14063645,.3028786,.7233372,.723337197249444,.302878599798036,.140636450448732,14-Dec-25,1,1,N,,,,,2,2008.5,.7233372,.3028786,.14063645,0,0,0,0,0,0,CPI_v13_M_v01_A
SSA,AGO,Angola,2018,IDREA,2018.17,National,1,.57160603,1.2310268,2.9399484,2.9399483756426,1.23102676162535,.571606030527844,14-Dec-25,2,1,N,,,,,2,2018.17,2.9399484,1.2310268,.57160603,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,1996,EWS,1996,National,1,.37247661,.39963523,.44457245,.44457245448769,.399635230944479,.372476609889224,14-Dec-25,0,1,N,,,,,2,1996,.44457245,.39963523,.37247661,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2002,LSMS,2002,National,1,.65395479,.701637,.780533,.780532995511727,.701637001510969,.653954785412687,14-Dec-25,1,1,N,,,,,2,2002,.780533,.701637,.65395479,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2005,LSMS,2005,National,1,.70271997,.75395783,.83873707,.838737072592058,.753957831447932,.702719968891262,14-Dec-25,1,1,N,,,,,2,2005,.83873707,.75395783,.70271997,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2008,LSMS,2008,National,1,.7643803,.82011404,.91233225,.912332254060771,.820114038486315,.764380297642933,14-Dec-25,1,1,N,,,,,2,2008,.91233225,.82011404,.7643803,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2012,LSMS,2012,National,1,.85485236,.91718275,1.0203159,1.02031591552552,.917182750351119,.854852362971777,14-Dec-25,1,1,N,,,,,2,2012,1.0203159,.91718275,.85485236,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2014,HBS,2014,National,1,.88558423,.95015539,1.0569962,1.05699618386886,.950155390384316,.885584231004626,14-Dec-25,2,1,N,,,,,2,2014,1.0569962,.95015539,.88558423,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2015,HBS,2015,National,1,.90237644,.96817198,1.0770387,1.07703865450064,.968171975304901,.902376435378451,14-Dec-25,2,1,N,,,,,2,2015,1.0770387,.96817198,.90237644,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2016,HBS,2016,National,1,.91388567,.98052039,1.0907756,1.09077559062843,.980520386877597,.913885667107707,14-Dec-25,2,1,N,,,,,2,2016,1.0907756,.98052039,.91388567,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2017,HBS,2017,National,1,.93204147,1,1.1124456,1.1124456005468,1,.932041474443909,14-Dec-25,2,1,N,,,,,2,2017,1.1124456,1,.93204147,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2017,SILC-C,2016,National,1,.91388567,.98052039,1.0907756,1.09077559062843,.980520386877597,.913885667107707,14-Dec-25,4,1,N,,,,,2,2016,1.0907756,.98052039,.91388567,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2018,HBS,2018,National,1,.95094379,1.0202806,1.1350066,1.13500661150953,1.02028055210218,.950943790127759,14-Dec-25,3,1,N,,,,,2,2018,1.1350066,1.0202806,.95094379,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2018,SILC-C,2017,National,1,.93204147,1,1.1124456,1.1124456005468,1,.932041474443909,14-Dec-25,4,1,N,,,,,2,2017,1.1124456,1,.93204147,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2019,HBS,2019,National,1,.96436246,1.0346776,1.1510226,1.15102257473115,1.03467762753108,.964362461538195,14-Dec-25,3,1,N,,,,,2,2019,1.1510226,1.0346776,.96436246,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2019,SILC-C,2018,National,1,.95094379,1.0202806,1.1350066,1.13500661150953,1.02028055210218,.950943790127759,14-Dec-25,4,1,N,,,,,2,2018,1.1350066,1.0202806,.95094379,0,0,0,0,0,0,CPI_v13_M_v01_A
ECA,ALB,Albania,2020,HBS,2020,National,1,.97999371,1.0514486,1.1696794,1.16967937977653,1.05144860944355,.979993712247761,14-Dec-25,3,1,N,,,,,2,2020,1.1696794,1.0514486,.97999371,0,0,0,0,0,0,CPI_v13_M_v01_A
MNA,ARE,United Arab Emirates,2014,HIES,2013.42,National,1,.92282902,.91502711,1.0277356,1.02773557735795,.915027112271092,.922829019415991,14-Dec-25,0,1,N,,,,,2,2013.42,1.0277356,.91502711,.92282902,0,0,0,0,0,0,CPI_v13_M_v01_A
MNA,ARE,United Arab Emirates,2019,HIES,2018,National,1,1.0394744,1.0306863,1.1576411,1.15764113616225,1.03068634501483,1.03947441156661,14-Dec-25,0,1,N,,,,,2,2018,1.1576411,1.0306863,1.0394744,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,1980,EPH,1980,National,1,1.263e-10,5.489e-10,2.656e-09,.26563430335911,.0548937504873377,.012632220455265,14-Dec-25,0,1.000e-08,U,,,,,2,1980,.2656343,.05489375,.01263222,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,1986,EPH,1986,National,1,3.238e-07,1.407e-06,6.809e-06,.0680853382547446,.0140699432367712,.00323779343153018,14-Dec-25,0,.0001,U,,,,,2,1986,.06808534,.01406994,.00323779,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,1987,EPH,1987,National,1,7.490e-07,3.255e-06,.00001575,.157505007900983,.0325486599241444,.00749013947917595,14-Dec-25,0,.0001,U,,,,,2,1987,.15750501,.03254866,.00749014,0,0,0,0,0,0,CPI_v13_M_v01_A
LAC,ARG,Argentina,1991,EPH,1991,National,1,.0075689,.03289092,.15916122,1591.61217493686,328.909182657324,75.6890040888488,14-Dec-25,0,.0001,U,,,,,2,1991,1591.6122,328.90918,75.689004,0,0,0,0,0,0,CPI_v13_M_v01_A
